date,close_value,nifty50_return
2022-01-03,17778.24,
2022-01-04,17537.52,-0.013540147956153215
2022-01-05,17607.73,0.004003416674649429
2022-01-06,17556.05,-0.0029350745382852317
2022-01-07,17664.02,0.0061500166609231854
2022-01-10,17516.51,-0.008350873696927552
2022-01-11,17603.08,0.004942194535327182
2022-01-12,17763.76,0.00912794806363415
2022-01-13,17830.3,0.0037458285858400497
2022-01-14,17578.93,-0.014097911981290179
2022-01-17,17945.01,0.02082493075517089
2022-01-18,18041.24,0.005362493528841883
2022-01-19,18014.52,-0.0014810511916033553
2022-01-20,18115.34,0.005596596523248953
2022-01-21,18440.19,0.01793231592672284
2022-01-24,18236.66,-0.0110373049301552
2022-01-25,18409.39,0.009471580870619833
2022-01-26,18393.08,-0.00088596091451143
2022-01-27,18354.08,-0.0021203626581300927
2022-01-28,18324.13,-0.0016317897709937634
2022-01-31,18021.52,-0.016514290173667234
2022-02-01,18101.19,0.0044208257683036045
2022-02-02,17753.35,-0.01921641615827474
2022-02-03,17685.95,-0.0037964665823632116
2022-02-04,17621.67,-0.0036345234494048473
2022-02-07,17574.94,-0.002651848547839064
2022-02-08,17275.41,-0.01704301693206345
2022-02-09,17410.12,0.007797788880263834
2022-02-10,17157.83,-0.014490997190139798
2022-02-11,17036.29,-0.007083646358543083
2022-02-14,16968.48,-0.00398032670258619
2022-02-15,16932.91,-0.0020962396160409957
2022-02-16,16993.92,0.003603042831976211
2022-02-17,17004.75,0.0006372867472603794
2022-02-18,17284.03,0.01642364633411253
2022-02-21,17341.61,0.0033313989850747294
2022-02-22,17389.05,0.00273561681989154
2022-02-23,17315.49,-0.004230248345941656
2022-02-24,17366.81,0.0029638202557362714
2022-02-25,17305.72,-0.0035176293170708917
2022-02-28,17246.14,-0.003442792325312194
2022-03-01,17708.25,0.02679498136974412
2022-03-02,17941.93,0.013196109158160718
2022-03-03,17823.22,-0.006616345064326956
2022-03-04,17926.74,0.005808153633294122
2022-03-07,17975.01,0.0026926256530745984
2022-03-08,17886.24,-0.004938522982740889
2022-03-09,18202.81,0.017699080410416013
2022-03-10,18181.6,-0.0011652047128988263
2022-03-11,18397.76,0.011888942667312108
2022-03-14,18307.51,-0.004905488494251431
2022-03-15,18481.95,0.009528330177069444
2022-03-16,18694.14,0.01148093139522599
2022-03-17,18555.09,-0.007438159765573604
2022-03-18,18514.06,-0.0022112530847330225
2022-03-21,18509.77,-0.00023171578789316083
2022-03-22,18768.1,0.013956413288765734
2022-03-23,19017.38,0.013282111668203145
2022-03-24,18964.88,-0.0027606326423513794
2022-03-25,18914.38,-0.002662816743369878
2022-03-28,18961.42,0.0024869966660285847
2022-03-29,18727.88,-0.012316588103633452
2022-03-30,18933.02,0.010953722471523708
2022-03-31,18808.63,-0.006570003095121568
2022-04-01,18832.6,0.0012744149892893741
2022-04-04,19059.05,0.012024362010556233
2022-04-05,19137.78,0.004130845976058506
2022-04-06,19084.64,-0.0027767065981529893
2022-04-07,18934.49,-0.007867583564583724
2022-04-08,18934.99,2.640683746957251e-05
2022-04-11,18899.18,-0.0018912077587578402
2022-04-12,19319.0,0.022213662180052163
2022-04-13,19201.15,-0.006100212226305635
2022-04-14,19126.79,-0.0038726847089888272
2022-04-15,18979.48,-0.0077017628154019135
2022-04-18,18948.25,-0.0016454613087397707
2022-04-19,19038.49,0.004762445080680466
2022-04-20,18900.52,-0.007246898257162293
2022-04-21,18964.24,0.0033713358150992967
